ID,age1,age2,GF1,GF2,GAK1,GAK2,Female,GC1,GC2,GQ1,GQ2
4692,16,19.42,534,540,540.33,549.33,1,553,586,566,561
4700,18,24,511,505.5,535,531.33,1,543,554,534,536
4701,18,18.92,532.5,528.5,538,538,0,543,543,551,556
4716,16,16.67,490,482.5,494.67,490,1,500,496,507,497
4721,5,5.42,477,471.5,434,449.67,0,476,464,423,428
4723,13,13.17,511,511,502.67,517.67,0,507,510,502,517
4728,17,17.75,511.5,513,489.67,493.33,0,507,500,507,522
4735,16,23,511,504.5,522.67,520.67,0,537,538,517,519
4747,18,18.92,504,503.5,499.33,502.67,1,493,503,502,497
4748,7,9.58,457,500,479.33,511.33,0,464,502,442,497
4749,6,9.08,471.5,497,467,507.67,0,470,491,456,492
4758,20,20.83,497.5,498,511,526,0,522,525,545,539
4773,19,19.92,509.5,514.5,527.67,529.33,0,522,528,528,528
4780,18,19.17,499.5,506,529.67,531,0,534,534,522,539
4784,17,20.08,495,518,513,514.67,1,510,526,512,512
4799,19,19.67,499.5,503.5,519.33,514.67,0,510,513,502,517
4800,19,20,514.5,514.5,518,521.33,0,528,525,534,534
4804,3,3.75,,,423.33,425.33,1,,440,386,391
4807,4,5.92,,,451.33,454.67,1,,461,433,447
4809,11,11.5,491.5,486,482.67,485.67,0,486,473,497,476
4810,13,13.75,487.5,480.5,504.33,502.67,0,493,489,497,502
4839,13,22,493.5,510,519.67,,1,510,548,497,
4843,4,4.08,,,420,427.33,1,,,408,418
4847,3,3.5,,,425.33,429,1,,,402,433
4867,17,20.67,511.5,525,490.67,498.67,0,493,502,528,539
4878,6,7.17,461,471,444.67,446.33,0,414,458,428,433
4879,8,8.92,489,491.5,468.67,481,0,476,479,481,487
4880,8,8.58,482,486,476.33,478,1,489,493,481,497
4881,5,5.5,,464.5,449.67,458,0,440,467,423,452
4882,7,7.25,471,490,465.67,467,0,464,479,452,466
4884,6,6.67,457,460.5,463.67,470,0,440,464,423,437
4885,6,6.58,465,472.5,454.67,462.33,1,455,455,452,456
4886,8,8.83,,490,485.67,487.33,1,486,482,497,497
4898,17,25,525,526.5,541.67,,1,546,566,528,
4937,4,4.58,,,437.67,443,0,,458,413,433
4940,3,3.92,,,420.67,413,0,,414,358,372
4943,4,4.42,,,429.67,439.33,0,,435,391,413
4951,10,19,508,544,498,,1,493,532,502,
4967,16,25,484.5,494.5,521.33,,1,534,542,497,
5014,6,8.75,469.5,487,453,477.67,0,467,488,447,512
5015,6,8.92,461,482.5,462.33,492,0,458,495,452,481
5019,14,17.33,527,516.5,509.67,526,0,507,519,492,517
5020,6,9.33,479,484,462,484,1,461,478,452,497
5024,4,7.42,,493,470,493.33,1,,484,433,481
5042,19,26,518,530.5,531.67,535.33,1,537,551,545,550
5043,19,26,518,519,528,,1,525,,551,
5063,13,15.92,501,516.5,514.33,519.33,0,500,512,534,517
5084,18,20.83,547.5,512.5,533,519.33,0,556,522,561,534
5106,17,20.83,525.5,520,513,519.67,1,534,529,507,522
5107,17,20.25,513.5,519,527.67,538,0,528,542,522,534
5168,20,23.33,486,475,487.67,456,1,510,475,507,497
5178,18,27,534.5,514,533.33,,1,534,535,534,
5185,18,21.17,503.5,522,541.67,543.67,0,549,554,572,561
5198,17,20.33,524.5,520,538,539.67,0,537,551,551,561
5299,11,14.17,491.5,508.5,509.67,513,0,496,516,502,534
5300,7,9.67,447.5,485,439.67,462.67,0,414,466,386,476
5337,18,18.17,525,523,538.33,541.67,0,540,540,556,539
5418,20,22.92,517.5,518.5,543.67,538,1,553,551,539,556
5424,19,19.58,517,516.5,540,545.33,1,537,556,551,545
5425,18,19,512.5,507.5,529.67,539.67,1,549,556,528,539
5433,18,18.42,484.5,515.5,528.33,529.33,1,537,540,534,534
5448,18,18.92,493.5,480.5,518,526,1,528,522,528,528
5582,19,26,519.5,521.5,535,533,1,546,554,528,542
5621,20,29,495.5,502,531,,0,525,542,512,
5626,19,28,494.5,511,525,,1,528,545,528,
5634,19,25,534.5,525,536.33,529,1,543,545,517,511
5648,19,28,507,493,495.33,,1,510,502,512,
5651,19,27,514.5,515,522.67,,0,516,505,528,
9504,2,4.42,,,427,454,0,,,388,428
9507,2,4.42,,,421.67,460.67,1,,,385,428
9510,2,4.33,,,432.33,466.67,0,,,386,428
9512,2,4.67,,,441.33,463.33,0,,,400,442
9520,2,4.17,,,419.33,447,1,,,378,418
9521,2,3.92,,,396.67,425,0,,,333,386
9524,3,4.92,,,438.33,460.33,1,,,406,442
